zipcode,latitude,longitude
10001,40.7418931677079,-74.00014023998185
10001,40.7520069733203,-74.00543584763324
10001,40.75054498748023,-73.99714706994247
10001,40.74407999953524,-74.00193173438153
10001,40.74869025486597,-73.99934144838926
10001,40.74753039782525,-73.99995045236471
10001,40.75780987387191,-74.00403121136509
10001,40.74033607906357,-73.99983216542418
10001,40.75022053801741,-73.99351647056301
10001,40.74634513494336,-73.98671444012156
10001,40.74543785992386,-73.9922718666408
10001,40.75115165389061,-73.99043892273505
10001,40.757924513269074,-73.98890412687109
10001,40.75369123948715,-73.99273503044364
10001,40.74510996339352,-74.00374628843586
10001,40.7396527200612,-74.00186196591598
10001,40.74704562962362,-73.9962600745274
10001,40.7538616710811,-73.98752518153887
10001,40.740746409607695,-74.00455991719613
10001,40.75019389446027,-73.99179203852106
10001,40.75536300760694,-73.98798335839567
10001,40.75806852484521,-73.99870396615552
10001,40.74600670367055,-74.00374382646606
10001,40.75209868877367,-73.99356476083119
10001,40.75564125191702,-74.00475484010425
10001,40.7483555381565,-73.99507836140657
10001,40.7432311408008,-74.00331949187742
10001,40.75559161672839,-74.0055293015553
10001,40.74781241807836,-74.00438331997398
10001,40.74754117522662,-73.98710075347316
10001,40.74687412706911,-73.98955750164991
10001,40.74074631128366,-74.00127495846476
10001,40.74647585481334,-73.99870375719982
10001,40.7518276695734,-73.9998056374525
10001,40.75267533736819,-73.9939162620155
10001,40.746383222905095,-73.99806479744692
10001,40.7506905539962,-74.00529915619711
10001,40.75484813476711,-73.99363157677773
10001,40.75292684928835,-73.99596153997835
10001,40.74060954221983,-73.99859928773407
10001,40.74650747165697,-74.00027914019914
10001,40.73899900649809,-73.99195491514807
10001,40.740595689161246,-73.9945738373391
10001,40.75246434992934,-73.99400427354134
10001,40.75758284503956,-74.0046340368983
10001,40.7557433431821,-74.00611619530302
10001,40.74909833709854,-73.99861512764122
10001,40.74888367720787,-73.9993980024588
10001,40.7422113382988,-74.00631754205104
10001,40.74876299627582,-73.9898444627463
10001,40.745864319114894,-74.00224272363971
10001,40.74001064006944,-74.00499378153764
10001,40.742827928925855,-74.00469971878157
10001,40.743700793967285,-74.00537701075767
10001,40.73971209734419,-73.98957447640755
10001,40.74164240521417,-73.99550635188353
10001,40.75386911088898,-73.99757180869322
10001,40.74146737755719,-74.0027080771576
10001,40.74705968412562,-73.99613531821643
10001,40.74538880584097,-73.99107040799531
10001,40.75342043297712,-73.98815576385255
10001,40.73897905098053,-73.9887861741758
10001,40.74625137576924,-73.9891325500924
10001,40.75221569552313,-73.98695302485852
10001,40.75358564903433,-73.99940910748006
10001,40.74842126345669,-73.99917221689611
10001,40.74569823672042,-74.00148191001239
10001,40.748319405907466,-73.99306520109862
10001,40.7439468054261,-73.99621240377846
10001,40.740747605883406,-74.00350309426292
10001,40.73933612709424,-73.9872853711446
10001,40.7384772070302,-74.00312840063886
10001,40.750657335062336,-74.00507260802294
10001,40.756037930061936,-73.99230759684316
10001,40.75772779942876,-73.99654728905519
10001,40.744408073663166,-73.99570998854409
10001,40.75701637434596,-73.99628477125516
10001,40.74374414063724,-73.98915202421652
10001,40.74583837497025,-74.00667233300003
10001,40.743353700449845,-74.00033532981647
10001,40.75557554936464,-73.99752993665868
10001,40.74729174575622,-73.999977954672
10001,40.756013562460936,-73.98779946446119
10001,40.75823780658309,-73.99916517466079
10001,40.75772294891254,-73.99086240860738
10001,40.75191378295288,-74.0018022104116
10001,40.74272914521888,-74.00337904350958
10001,40.75685513220451,-74.00081846675234
10001,40.74746188490897,-73.99682084332026
10001,40.753963431909,-73.98981530076894
10001,40.74118145402297,-73.99816191279578
10001,40.755257097756704,-73.99033933388489
10001,40.74044827516904,-74.00357233302265
10001,40.74448397383198,-74.00519281861834
10001,40.74689326005681,-74.004547645897
10001,40.7497643518734,-74.00176886120379
10001,40.75032866130699,-74.00434948714194
